customer_id,country,device,customer_type,first_purchase,repeat_purchase
C5155,FR,desktop,B2C,2025-12-06,0
C5156,IT,mobile,B2C,2025-09-08,1
C5157,FR,mobile,B2C,2026-03-15,0
C5158,ES,mobile,B2C,2026-05-09,0
C5159,FR,desktop,B2C,2025-09-20,0
C5160,FR,desktop,B2C,2025-08-26,1
C5161,FR,tablet,B2C,2026-06-30,0
C5162,IT,desktop,B2C,2026-05-04,0
C5163,BE,desktop,B2C,2025-08-08,1
C5164,BE,desktop,B2C,2025-09-17,1
C5165,FR,mobile,B2C,2025-11-30,1
C5166,ES,mobile,B2C,2025-10-25,1
C5167,FR,desktop,B2C,2026-02-25,0
C5168,FR,desktop,B2C,2026-04-06,1
C5169,NL,mobile,B2C,2026-04-04,0
C5170,FR,mobile,B2C,2025-11-18,1
C5171,FR,desktop,B2C,2026-02-22,1
C5172,FR,tablet,B2C,2025-08-31,1
C5173,FR,desktop,B2C,2025-10-24,0
C5174,FR,desktop,B2C,2026-02-11,0
C5175,ES,tablet,B2C,2025-08-02,0
C5176,DE,desktop,B2B,2026-02-16,1
C5177,NL,mobile,B2C,2025-12-14,1
C5178,BE,desktop,B2C,2026-03-21,0
C5179,FR,desktop,B2C,2025-12-25,0
C5180,FR,tablet,B2C,2026-03-05,0
C5181,FR,desktop,B2C,2026-07-23,1
C5182,ES,mobile,B2B,2026-05-12,1
C5183,FR,desktop,B2C,2026-07-05,0
C5184,ES,desktop,B2C,2026-04-07,0
C5185,DE,desktop,B2B,2025-10-19,1
C5186,DE,mobile,B2C,2025-11-06,1
C5187,DE,desktop,B2C,2025-12-30,0
C5188,FR,mobile,B2C,2025-11-20,0
C5189,NL,desktop,B2C,2025-08-30,0
C5190,IT,tablet,B2B,2026-05-24,0
C5191,FR,desktop,B2B,2026-05-05,0
C5192,BE,mobile,B2C,2025-09-01,1
C5193,DE,mobile,B2C,2026-01-08,1
C5194,NL,mobile,B2C,2025-08-30,0
C5195,IT,mobile,B2C,2025-08-26,1
C5196,DE,mobile,B2B,2026-05-27,0
C5197,FR,mobile,B2C,2026-04-02,0
C5198,FR,desktop,B2C,2026-04-15,0
C5199,DE,desktop,B2C,2026-04-29,0
C5200,ES,tablet,B2C,2025-10-20,1
C5201,FR,mobile,B2C,2025-08-30,1
C5202,FR,mobile,B2C,2026-04-18,0
C5203,BE,mobile,B2C,2025-09-11,0
C5204,PT,desktop,B2C,2025-11-04,1
C5205,DE,desktop,B2B,2025-09-05,0
C5206,FR,mobile,B2C,2026-06-01,0
C5207,FR,desktop,B2C,2025-09-04,1
C5208,FR,desktop,B2C,2026-07-12,0
C5209,NL,mobile,B2C,2025-11-29,0
C5210,FR,desktop,B2C,2026-02-23,0
C5211,DE,mobile,B2C,2025-10-01,1
C5212,FR,desktop,B2C,2026-05-19,0
C5213,DE,mobile,B2C,2025-12-05,0
C5214,ES,desktop,B2C,2026-05-24,1
C5215,BE,desktop,B2C,2026-06-01,0
C5216,FR,desktop,B2B,2025-08-21,1
C5217,FR,desktop,B2C,2026-06-14,0
C5218,FR,desktop,B2C,2025-09-11,1
C5219,NL,desktop,B2C,2026-03-03,0
C5220,BE,mobile,B2C,2026-07-03,0
C5221,ES,desktop,B2C,2026-05-26,0
C5222,ES,mobile,B2C,2026-05-17,0
C5223,ES,mobile,B2B,2026-04-25,1
C5224,FR,mobile,B2C,2026-01-09,1
C5225,NL,desktop,B2C,2025-12-12,0
C5226,DE,mobile,B2C,2025-11-13,0
C5227,FR,desktop,B2C,2026-07-09,1
C5228,DE,desktop,B2C,2026-01-08,1
C5229,FR,tablet,B2C,2025-12-01,0
C5230,FR,desktop,B2C,2025-12-14,0
C5231,IT,mobile,B2B,2026-02-19,0
C5232,FR,mobile,B2C,2025-10-07,1
C5233,ES,mobile,B2C,2026-07-10,0
C5234,FR,mobile,B2C,2026-06-27,0
C5235,FR,desktop,B2C,2026-01-01,0
C5236,FR,desktop,B2C,2026-03-23,1
C5237,FR,mobile,B2C,2026-01-09,0
C5238,IT,desktop,B2C,2025-09-07,0
C5239,FR,desktop,B2C,2025-08-05,0
C5240,DE,desktop,B2C,2026-03-23,0
C5241,DE,desktop,B2C,2026-06-15,0
C5242,ES,desktop,B2B,2026-05-16,0
C5243,NL,desktop,B2C,2025-09-21,0
C5244,IT,mobile,B2C,2025-09-07,0
C5245,FR,mobile,B2C,2026-05-03,0
C5246,FR,mobile,B2C,2025-11-18,0
C5247,FR,desktop,B2C,2026-04-17,1
C5248,ES,desktop,B2B,2025-12-14,0
C5249,FR,desktop,B2C,2025-10-07,1
C5250,DE,mobile,B2C,2026-01-26,0
C5251,ES,mobile,B2C,2025-09-05,0
C5252,FR,desktop,B2C,2025-12-04,0
C5253,IT,tablet,B2C,2026-02-06,0
C5254,FR,desktop,B2C,2025-12-24,1
C5255,FR,mobile,B2B,2025-10-20,1
C5256,IT,mobile,B2C,2026-03-13,1
C5257,DE,mobile,B2C,2026-05-06,0
C5258,ES,mobile,B2C,2026-07-27,0
C5259,DE,mobile,B2C,2026-01-02,0
C5260,FR,desktop,B2C,2026-06-10,0
C5261,BE,mobile,B2C,2026-07-01,0
C5262,IT,desktop,B2C,2026-04-28,0
C5263,ES,mobile,B2C,2025-08-05,0
C5264,FR,mobile,B2C,2026-07-08,0
C5265,ES,mobile,B2C,2026-05-11,1
C5266,FR,desktop,B2B,2026-01-01,1
C5267,FR,mobile,B2C,2026-07-06,1
C5268,NL,mobile,B2C,2025-09-23,0
C5269,FR,mobile,B2C,2025-10-08,0
C5270,PT,desktop,B2B,2025-12-14,0
C5271,DE,desktop,B2B,2025-09-29,1
C5272,FR,desktop,B2C,2025-09-24,0
C5273,DE,desktop,B2B,2026-05-11,0
C5274,BE,mobile,B2C,2025-10-19,1
C5275,IT,desktop,B2C,2025-12-18,0
C5276,BE,tablet,B2C,2025-12-23,0
C5277,ES,desktop,B2C,2026-06-06,0
C5278,ES,desktop,B2C,2025-11-16,0
C5279,BE,mobile,B2B,2026-01-23,0
C5280,FR,mobile,B2C,2025-11-13,0
C5281,DE,mobile,B2C,2026-07-18,0
C5282,FR,mobile,B2C,2026-06-21,0
C5283,PT,mobile,B2C,2025-12-14,1
C5284,NL,desktop,B2C,2026-04-16,0
C5285,FR,tablet,B2C,2026-04-08,0
C5286,IT,tablet,B2C,2025-12-07,0
C5287,NL,mobile,B2B,2025-08-27,1
C5288,FR,desktop,B2C,2025-09-17,0
C5289,DE,mobile,B2C,2026-06-21,0
C5290,NL,desktop,B2C,2026-03-05,1
C5291,FR,desktop,B2C,2025-12-20,1
C5292,ES,desktop,B2C,2025-08-23,0
C5293,FR,desktop,B2C,2025-08-02,1
C5294,NL,mobile,B2B,2026-01-18,0
C5295,PT,mobile,B2C,2025-10-06,0
C5296,NL,mobile,B2B,2026-06-23,0
C5297,DE,desktop,B2B,2025-12-13,0
C5298,BE,desktop,B2C,2025-10-22,1
C5299,BE,desktop,B2B,2026-03-15,0
C5300,FR,tablet,B2C,2026-05-10,0
C5301,BE,desktop,B2C,2026-07-28,1
C5302,FR,mobile,B2C,2026-03-07,1
C5303,ES,mobile,B2B,2026-05-15,0
C5304,FR,desktop,B2B,2025-08-05,0
C5305,FR,mobile,B2C,2025-09-27,0
C5306,FR,mobile,B2C,2025-09-08,1
C5307,ES,mobile,B2C,2026-07-20,0
C5308,FR,tablet,B2C,2025-10-16,1
C5309,IT,desktop,B2C,2026-05-07,0
C5310,FR,desktop,B2C,2025-08-19,0
C5311,FR,mobile,B2C,2026-02-06,0
C5312,DE,tablet,B2C,2026-05-26,0
C5313,IT,desktop,B2B,2026-05-10,0
C5314,FR,mobile,B2C,2025-10-15,1
C5315,ES,mobile,B2B,2026-03-09,0
C5316,NL,mobile,B2C,2025-10-05,0
C5317,ES,desktop,B2B,2025-08-22,1
C5318,FR,mobile,B2B,2026-01-05,0
C5319,FR,tablet,B2C,2026-02-03,1
