date,sessions,users,product_views,add_to_cart,checkout,purchases,revenue
2025-12-03,815,740,1500,92,51,38,4627.17
2025-12-04,740,654,1571,68,41,27,4139.78
2025-12-05,791,703,1640,76,46,33,4373.21
2025-12-06,641,536,994,56,37,25,3623.77
2025-12-07,479,414,984,49,32,22,3079.04
2025-12-08,690,614,1490,74,40,27,3890.48
2025-12-09,679,622,1472,62,41,25,3048.74
2025-12-10,818,689,1260,90,50,32,3956.21
2025-12-11,709,635,1129,78,51,31,4691.86
2025-12-12,736,613,1227,63,37,25,3697.06
2025-12-13,688,583,1393,63,35,22,2780.19
2025-12-14,526,463,1100,45,28,19,2860.23
2025-12-15,741,683,1453,71,40,26,3648.91
2025-12-16,623,561,988,64,39,26,3748.01
2025-12-17,730,670,1177,65,38,24,3073.47
2025-12-18,866,727,1797,77,49,30,4595.95
2025-12-19,790,717,1473,82,53,35,4203.32
2025-12-20,732,669,1293,73,40,27,4172.23
2025-12-21,561,504,1161,54,31,23,3305.1
2025-12-22,644,542,997,64,37,24,3617.26
2025-12-23,819,701,1664,87,47,32,3996.04
2025-12-24,749,686,1580,73,44,29,4207.36
2025-12-25,670,585,1047,71,39,27,3412.81
2025-12-26,724,617,1408,83,54,35,4415.63
2025-12-27,617,520,1297,67,45,33,4943.82
2025-12-28,715,597,1124,72,44,30,4016.63
2025-12-29,992,823,1669,99,63,40,5565.63
2025-12-30,636,573,1151,54,32,21,3203.29
2025-12-31,853,712,1545,86,50,34,4274.63
2026-01-01,737,634,1425,69,46,32,4331.29
2026-01-02,825,747,1390,90,52,38,4673.41
2026-01-03,602,551,1113,56,32,21,3254.3
2026-01-04,627,557,1154,63,40,26,3948.71
2026-01-05,814,711,1294,87,55,36,5103.11
2026-01-06,808,743,1287,78,51,38,5163.72
2026-01-07,690,607,1311,77,50,32,4329.17
2026-01-08,993,884,1944,114,63,41,5505.33
2026-01-09,828,716,1254,72,45,33,4553.93
2026-01-10,530,480,1073,54,31,19,2322.72
2026-01-11,687,610,1427,76,46,33,5053.65
2026-01-12,783,722,1359,88,59,42,6240.83
2026-01-13,698,631,1388,65,36,24,3440.23
2026-01-14,907,841,1984,90,59,42,5776.53
2026-01-15,789,700,1259,89,53,36,5166.29
2026-01-16,741,661,1124,79,48,33,4689.82
2026-01-17,613,541,1169,64,41,29,4362.66
2026-01-18,649,600,1153,57,35,22,2796.2
2026-01-19,743,690,1396,69,46,34,4604.48
2026-01-20,955,860,1891,106,67,44,6348.55
2026-01-21,828,712,1682,85,47,32,4224.5
2026-01-22,991,854,2025,86,54,39,5598.42
2026-01-23,710,624,1537,66,36,24,2907.73
2026-01-24,751,639,1453,64,39,24,3653.76
2026-01-25,757,702,1253,69,44,28,4237.18
2026-01-26,691,631,1275,77,51,32,3842.6
2026-01-27,1001,929,2136,86,56,38,4904.42
2026-01-28,878,811,1443,90,52,36,5181.81
2026-01-29,935,793,1743,92,51,37,4874.71
2026-01-30,966,851,1521,94,57,41,6125.43
2026-01-31,944,834,1473,86,49,31,4117.0
2026-02-01,650,543,983,57,32,21,2895.23
2026-02-02,839,708,1507,79,45,27,3681.33
2026-02-03,799,673,1694,74,42,31,4606.56
2026-02-04,1002,876,1846,91,50,35,4320.47
2026-02-05,1001,926,1669,103,62,46,5957.0
2026-02-06,917,761,1479,87,51,37,5321.33
2026-02-07,690,579,1468,78,52,38,4791.37
2026-02-08,563,469,1072,63,36,22,3260.23
2026-02-09,916,822,1525,80,52,36,5565.5
2026-02-10,850,734,1311,90,55,35,5157.62
2026-02-11,863,724,1535,84,51,36,5461.69
2026-02-12,847,714,1302,72,40,28,4072.93
2026-02-13,864,743,1588,75,47,35,4641.99
2026-02-14,806,729,1491,71,44,29,3514.92
2026-02-15,826,714,1464,92,60,43,5534.44
2026-02-16,991,912,1593,102,56,39,5058.3
2026-02-17,717,607,1387,79,53,34,4933.67
2026-02-18,877,786,1526,75,47,35,4974.35
2026-02-19,1074,912,2175,115,65,48,6212.24
2026-02-20,652,605,1152,58,34,23,2815.79
2026-02-21,917,828,1394,92,51,36,4390.22
2026-02-22,885,815,1762,88,53,33,4296.1
2026-02-23,1056,885,1744,97,63,43,5892.68
2026-02-24,1137,1050,2212,127,77,49,7474.84
2026-02-25,811,697,1245,80,52,39,5953.0
2026-02-26,948,798,1675,81,53,35,4973.12
2026-02-27,905,778,1967,103,60,41,6316.03
2026-02-28,915,759,1636,80,49,30,4027.24
2026-03-01,777,722,1600,85,53,33,4198.85
2026-03-02,796,734,1397,70,44,29,3752.89
2026-03-03,1011,904,2041,86,48,34,5149.84
2026-03-04,971,866,1547,85,56,35,4837.28
2026-03-05,1124,971,1855,122,70,48,7386.59
2026-03-06,1112,939,2400,100,62,41,6304.67
2026-03-07,703,652,1318,70,40,28,3374.09
2026-03-08,624,521,1197,59,39,29,4204.41
2026-03-09,1049,883,2135,95,56,41,5689.91
2026-03-10,1108,1014,1827,114,63,44,6454.3
2026-03-11,798,664,1263,82,55,35,5100.41
2026-03-12,1057,968,1970,111,72,47,6128.39
2026-03-13,1003,840,1818,88,48,33,5069.76
2026-03-14,790,727,1570,69,40,26,3814.47
2026-03-15,729,635,1116,68,41,26,3532.47
2026-03-16,1141,1044,2175,99,56,38,5040.78
2026-03-17,1047,930,2154,99,64,42,5121.49
2026-03-18,729,645,1393,82,52,38,5768.1
2026-03-19,1071,948,2339,115,64,46,5794.57
2026-03-20,1285,1124,2116,135,89,58,7126.48
2026-03-21,875,755,1482,79,48,31,4513.15
2026-03-22,663,555,1302,61,37,24,3487.13
2026-03-23,867,790,1715,78,51,34,4304.89
2026-03-24,1286,1103,2169,129,74,47,5843.47
2026-03-25,1188,1024,1810,105,70,48,6522.0
2026-03-26,1065,888,2140,107,61,38,5069.91
2026-03-27,1012,900,2033,89,55,39,4953.97
2026-03-28,789,724,1291,74,46,32,4623.31
2026-03-29,584,542,1178,51,33,20,2419.23
2026-03-30,1285,1118,2821,115,73,47,6832.27
2026-03-31,1244,1057,2515,142,90,62,9443.29
2026-04-01,1006,836,2023,112,62,42,5340.94
2026-04-02,1234,1061,2248,115,68,43,6492.77
2026-04-03,1103,916,2335,112,66,47,6475.25
2026-04-04,685,595,1143,58,34,21,2708.77
2026-04-05,779,653,1223,70,47,29,4128.25
2026-04-06,1005,860,2047,113,69,45,6642.59
2026-04-07,1116,1002,2368,118,68,51,6307.13
2026-04-08,1016,900,1534,110,65,43,6378.1
2026-04-09,785,681,1203,70,47,29,3840.26
2026-04-10,546,453,1010,52,35,22,2912.7
2026-04-11,944,823,1674,99,57,37,5384.33
2026-04-12,525,444,856,44,24,16,2419.45
2026-04-13,996,855,1722,88,52,32,4867.71
2026-04-14,986,869,1610,97,64,40,6008.98
2026-04-15,1118,966,2380,126,80,57,7743.24
2026-04-16,1063,946,2226,107,70,48,5864.91
2026-04-17,1150,998,2082,102,57,39,4796.22
2026-04-18,874,809,1750,100,64,42,6027.92
2026-04-19,693,623,1219,59,37,23,3268.11
2026-04-20,1018,896,1536,97,60,44,6648.51
2026-04-21,843,740,1694,79,46,29,4050.38
2026-04-22,920,826,1835,88,49,33,4470.9
2026-04-23,956,857,1645,100,66,43,6633.27
2026-04-24,810,706,1268,71,42,30,4545.33
2026-04-25,702,629,1104,73,46,33,4913.16
2026-04-26,745,670,1257,85,48,29,3631.04
2026-04-27,1104,1001,2001,108,72,53,6937.27
2026-04-28,1037,954,1948,107,62,45,6395.59
2026-04-29,931,819,1435,104,65,42,5931.39
2026-04-30,1012,912,1929,114,63,39,4917.06
2026-05-01,1214,1091,2369,135,87,60,9282.85
2026-05-02,829,723,1619,88,55,35,4742.61
2026-05-03,711,630,1489,69,46,31,4315.43
2026-05-04,1015,939,1991,102,56,37,4827.53
2026-05-05,1128,1020,1856,102,58,36,4711.87
2026-05-06,999,902,2056,92,61,38,5007.34
2026-05-07,1010,897,1587,107,64,46,6313.56
2026-05-08,1031,881,1900,89,56,39,5196.89
2026-05-09,680,629,1436,72,46,30,4289.66
2026-05-10,713,663,1380,69,40,28,3408.6
2026-05-11,918,770,1398,91,57,35,5083.5
2026-05-12,1042,967,2067,116,78,53,7662.81
2026-05-13,829,758,1450,76,51,36,4596.8
2026-05-14,1115,986,2179,119,75,52,7604.3
2026-05-15,922,832,1789,88,53,40,4957.34
2026-05-16,735,671,1186,68,37,26,3336.77
2026-05-17,581,504,1051,64,38,24,3320.42
2026-05-18,955,886,1994,82,52,34,4745.94
2026-05-19,991,850,1728,111,64,47,5690.1
2026-05-20,1093,930,2050,117,73,50,7679.62
2026-05-21,1018,913,2173,108,69,43,5700.99
2026-05-22,889,748,1536,81,54,40,5499.56
2026-05-23,775,648,1550,80,54,37,4875.63
2026-05-24,762,685,1501,70,45,32,4195.36
2026-05-25,929,816,1585,86,47,31,4321.06
2026-05-26,951,847,1695,100,57,41,5087.45
2026-05-27,1029,921,1789,110,68,46,5792.77
2026-05-28,943,860,1454,90,60,41,5870.13
2026-05-29,923,850,1949,92,55,36,5225.96
2026-05-30,628,543,1019,66,41,28,3742.52
2026-05-31,639,588,971,69,46,31,4317.5
2026-06-01,622,532,1289,69,44,28,3445.01
2026-06-02,1134,1009,1746,119,73,52,7314.11
2026-06-03,755,649,1409,78,50,36,5545.59
2026-06-04,863,740,1337,82,53,36,5350.41
2026-06-05,981,907,1519,96,60,39,5235.66
2026-06-06,706,633,1171,72,46,29,3984.99
2026-06-07,773,656,1642,75,43,29,3894.87
2026-06-08,787,686,1503,79,44,27,3929.3
2026-06-09,670,610,1186,72,42,26,3968.7
2026-06-10,975,847,2003,91,57,42,5101.22
2026-06-11,909,809,1696,101,56,36,5423.46
2026-06-12,1009,913,1525,101,62,41,5346.76
2026-06-13,597,543,1231,58,34,22,3011.36
2026-06-14,734,662,1285,75,44,29,3505.23
2026-06-15,985,896,1661,90,52,34,4672.86
2026-06-16,835,729,1380,74,40,25,3617.19
2026-06-17,842,748,1785,94,60,37,5184.72
2026-06-18,691,627,1044,70,46,31,3724.46
2026-06-19,854,722,1678,90,51,37,5012.27
2026-06-20,652,550,1326,70,44,32,4665.86
2026-06-21,650,588,1429,69,38,26,3654.49
2026-06-22,950,805,2065,85,48,35,4769.88
2026-06-23,860,765,1328,98,60,41,5666.37
2026-06-24,775,690,1305,72,44,32,3895.85
2026-06-25,966,816,1459,91,57,36,4856.91
2026-06-26,878,777,1685,81,48,34,5200.05
2026-06-27,665,579,1152,59,33,23,2969.13
2026-06-28,734,627,1613,66,37,23,3226.74
2026-06-29,681,601,1397,74,49,36,5031.7
2026-06-30,961,814,1508,83,52,38,5236.55
2026-07-01,825,761,1582,90,58,43,6319.19
2026-07-02,750,678,1247,65,40,25,3841.92
2026-07-03,889,772,1534,100,59,39,4824.82
2026-07-04,598,536,1017,61,38,27,3944.25
2026-07-05,471,430,808,47,28,20,2702.34
2026-07-06,822,713,1629,84,47,32,4663.74
2026-07-07,677,621,1401,62,35,25,3275.58
2026-07-08,739,636,1187,68,41,29,3821.35
2026-07-09,678,595,1102,67,42,26,3128.9
2026-07-10,699,585,1310,77,42,31,3835.31
2026-07-11,612,548,1136,60,39,28,3833.73
2026-07-12,706,593,1116,76,47,32,4602.23
2026-07-13,817,740,1663,78,45,32,4262.44
2026-07-14,873,803,1352,75,50,35,4665.01
2026-07-15,851,751,1335,93,61,39,5840.95
2026-07-16,883,810,1664,92,55,36,5229.7
2026-07-17,807,711,1300,69,41,25,3498.17
2026-07-18,666,578,1352,62,38,26,3124.29
2026-07-19,583,535,934,61,41,29,3726.59
2026-07-20,725,667,1134,71,47,33,4437.76
2026-07-21,678,597,1168,77,51,37,4986.27
2026-07-22,622,559,1326,68,41,26,3188.82
2026-07-23,925,846,1576,83,49,32,3988.37
2026-07-24,843,756,1564,89,53,35,4778.91
2026-07-25,548,501,1129,52,33,21,3178.77
2026-07-26,665,578,1209,70,45,29,4151.27
2026-07-27,597,536,1057,56,36,22,3160.44
2026-07-28,620,530,936,55,34,24,2897.69
2026-07-29,804,692,1689,85,51,32,4660.62
2026-07-30,658,586,988,56,36,23,3272.09
2026-07-31,829,764,1821,74,49,32,4501.71
